run,kin,region1_counts,region2_counts,I_avg
16978, MF, 629., 3540, 27.489
16979, MF, 7157, 48702, 27.972    
17093, MF, 1312, 28831, 28.783  
17094, MF, 293,  7236,  33.181  
17096, MF, 2272, 52836, 60.046    

