run,kin,region1_counts,region2_counts,I_avg,charge
16978, MF, 629., 3540,  27.489,  5.485
16979, MF, 7157, 48702, 27.972,  76.223  
17093, MF, 1312, 28831, 28.783,  49.725
17094, MF, 290,  7236,  33.181,  12.675
17096, MF, 2272, 52836, 60.046,  98.943

